unixtime,posx,posy,posz,velx,vely,velz,q1,q2,q3,q4
1775172918.953,28542268.23734,5363801.756465,3072996.30571,-19440.0,19400.0,10330.0,0.1006599888206,-0.004901719279587,-0.6047440171242,0.7900178432465
1775172979.949,27325849.22314,6540799.183562,3699379.767964,-20450.0,19180.0,10210.0,0.110042989254,0.002811243990436,-0.6036509275436,0.7896126508713
1775173039.945,26068017.95178,7683782.79214,4307155.927626,-21490.0,18910.0,10050.0,0.1077465862036,0.003583555808291,-0.6018145680428,0.7913261651993
1775173099.941,24746759.43872,8808015.442608,4904402.370539,-22560.0,18560.0,9853.0,0.1052142232656,0.005169800948352,-0.6006893515587,0.792512178421
1775173159.933,23359760.96116,9908788.611727,5488561.812039,-23680.0,18120.0,9612.0,0.07683003693819,-0.01708323694766,-0.6720072031021,0.7363502383232
1775173219.929,21905110.26055,10980794.09551,6056754.367245,-24820.0,17600.0,9320.0,0.004305181093514,-0.06673265993595,-0.8218027353287,0.5658343434334
1775173279.925,20381449.02698,12018125.07816,6605778.552213,-25980.0,16970.0,8972.0,-0.05472510308027,-0.1151641309261,-0.9231788516045,0.3626061677933
1775173339.921,18788154.40852,13014308.32135,7132130.779794,-27140.0,16220.0,8564.0,-0.08790436387062,-0.1644840538502,-0.9757800102234,0.1143291592598
1775173400.917,17097395.80488,13977661.19647,7640098.585321,-28300.0,15350.0,8082.0,-0.09729824960232,-0.1639509797096,-0.9801231622696,-0.05487930774689
1775173460.914,15365831.96476,14869330.92294,8109108.494999,-29410.0,14360.0,7541.0,-0.0999694019556,-0.1896460652351,-0.9715152382851,-0.1009882614017
1775174006.919204,-2558732.330289,19376318.29369,10386221.52999,-34880.0,1603.0,352.4,-0.1385327428579,-0.1113420054317,-0.9840775728226,-0.001715717604384
1775174066.950984,-4650271.56712,19429417.03834,10381801.10309,-34820.0,178.0,-493.0,-0.1163045093417,-0.09546587616205,-0.9883963465691,-0.02078795805573
1775174127.984087,-6768736.588405,19397908.17961,10326547.27272,-34620.0,-1197.0,-1311.0,-0.1499431580305,-0.06133602932096,-0.9863647222519,-0.02897596172988
1775174189.073947,-8867923.408967,19284648.69018,10224023.79734,-34150.0,-2506.0,-2029.0,-0.222517490387,-0.03316024690866,-0.974048435688,-0.0248203240335
1775174250.143831,-10932179.77167,19094268.07195,10080369.814,-33520.0,-3718.0,-2672.0,-0.1250343769789,0.04412436112761,-0.9911468625069,-0.006879926193506
1775174311.000916,-12956134.58735,18833335.80325,9899343.939941,-32830.0,-4819.0,-3254.0,0.08938403427601,0.22650565207,-0.9687486886978,-0.04724025353789
1775174371.943637,-14936292.16786,18508565.6726,9684692.781249,-32090.0,-5812.0,-3775.0,0.07343271374702,0.2154689878225,-0.9686227440834,-0.09975363314152
1775174433.025195,-16870330.23457,18126518.19056,9440003.501837,-31320.0,-6699.0,-4239.0,0.04095688089728,0.1971916556358,-0.970391869545,-0.1333327889442
1775174493.932069,-18756941.30079,17693404.70269,9168661.883117,-30540.0,-7487.0,-4649.0,0.04043423384428,0.1865848898888,-0.9738073348999,-0.1234923899174
1775174554.859387,-20595662.21903,17215022.7679,8873818.848571,-29750.0,-8184.0,-5010.0,0.0422942712903,0.1877290308475,-0.9747040867805,-0.1136705204844
1775174614.946935,-22357693.72384,16705478.84967,8563668.422982,-28990.0,-8789.0,-5322.0,0.04217184334993,0.1936985403299,-0.9745677113533,-0.1044995635748
1775174674.884075,-24074199.79704,16161862.26782,8236015.872414,-28240.0,-9321.0,-5595.0,0.04252830892801,0.2004644721746,-0.9740997552872,-0.0955770611763
1775174734.900561,-25746168.81378,15588295.33355,7893074.969053,-27500.0,-9789.0,-5832.0,0.04218020662665,0.2048054784536,-0.9740122556686,-0.08703825622797
1775174794.786288,-27374825.37589,14988462.16433,7536813.538066,-26790.0,-10200.0,-6039.0,0.04152958095074,0.2078220695257,-0.9741060733795,-0.07875715941191
1775174854.967561,-28961562.51336,14365640.70472,7168977.44215,-26110.0,-10560.0,-6219.0,0.04102794453502,0.2132249176502,-0.973573923111,-0.07075057923794
1775174915.962822,-30533312.013,13711859.90427,6784730.184286,-25430.0,-10870.0,-6377.0,0.04011868685484,0.2163451164961,-0.9734697937965,-0.062783844769
1775174976.901043,-32064901.0596,13040017.3907,6391534.995884,-24790.0,-11150.0,-6513.0,0.03921208530664,0.2186889350414,-0.9734537005424,-0.05500377714634
1775175036.790795,-33533790.95693,12363874.4467,5997267.2756,-24180.0,-11390.0,-6628.0,0.04064145311713,0.2212349623442,-0.9727942347527,-0.05545038357377
1775175096.816647,-34966961.84776,11674542.34669,5596594.565492,-23600.0,-11590.0,-6727.0,0.1795605421066,0.1273439526558,-0.9754163622856,-0.0102228904143
1775175156.724297,-36365938.68848,10973777.47517,5190432.052965,-23040.0,-11770.0,-6811.0,0.4026543796062,-0.006667973473668,-0.9137756824493,0.05328249931335
1775175216.726552,-37732200.27069,10263125.64857,4779587.0632,-22510.0,-11920.0,-6883.0,0.5761234164238,-0.1245090141892,-0.8008782863617,0.1057038381696
1775175276.844342,-39067172.13097,9543950.947744,4364769.989481,-22000.0,-12050.0,-6944.0,0.7133737206459,-0.2363037317991,-0.643227159977,0.1466877311468
1775175336.795066,-40372226.53277,8817455.898956,3946603.377,-21510.0,-12160.0,-6995.0,0.806635081768,-0.3407265543938,-0.4480548799038,0.1802555471659
1775175458.012787,-42910100.17639,7339227.930866,3098095.88238,-20590.0,-12340.0,-7073.0,0.8420076966286,-0.4704079627991,-0.1905429810286,0.1828462779522
1775175518.699287,-44152903.09768,6584213.316515,2665785.582235,-20160.0,-12410.0,-7101.0,0.8289016485214,-0.4749637842178,-0.212362870574,0.2055077552795
1775175578.760939,-45350088.57581,5837803.606544,2239032.504748,-19750.0,-12470.0,-7124.0,0.8129505515099,-0.4803270995617,-0.2352855652571,0.230299860239
1775175638.788571,-46523310.9909,5088303.678559,1811092.195736,-19360.0,-12520.0,-7141.0,0.7987105250359,-0.4861379563808,-0.2549683749676,0.2464192956686
1775175698.933878,-47673576.34836,4336288.115194,1382256.933682,-18990.0,-12550.0,-7154.0,0.7883746027946,-0.4959189593792,-0.2609487771988,0.253841727972
1775175758.947222,-48801839.14348,3582266.737749,952779.4828735,-18630.0,-12580.0,-7163.0,0.7790661454201,-0.5065577030182,-0.2629310786724,0.2594657242298
1775175819.908932,-49927281.04026,2814087.602565,515719.7889228,-18280.0,-12600.0,-7168.0,0.7707718610764,-0.5150348544121,-0.2648161351681,0.2655602693558
1775175879.863462,-51013861.77876,2057346.836336,85611.73241503,-17950.0,-12620.0,-7170.0,0.7663906216621,-0.5171843767166,-0.2637849152088,0.2749241292477
1775175940.003491,-52081011.82311,1299819.393454,-344530.6424417,-17630.0,-12630.0,-7169.0,0.7626268267632,-0.5180943608284,-0.2627150416374,0.2845336198807
1775176000.784393,-53146814.9918,529186.5320653,-781717.1362473,-17320.0,-12640.0,-7166.0,0.7598394155502,-0.5181488394737,-0.2632132768631,0.2913497388363
1775176060.69001,-54177053.91887,-228996.2008368,-1211472.076545,-17030.0,-12640.0,-7160.0,0.7590380907059,-0.5169275403023,-0.2676545083523,0.2915615439415
1775176120.800941,-55190036.85131,-987108.3247415,-1640842.229469,-16740.0,-12630.0,-7153.0,0.7575069665909,-0.5167256593704,-0.2736165225506,0.2903648614883
1775176180.74473,-56186408.72745,-1744925.455876,-2069719.443822,-16470.0,-12630.0,-7144.0,0.7550510764122,-0.5174025893211,-0.2795344293118,0.2899188995361
1775176240.878939,-57166699.4099,-2502184.501926,-2497972.375372,-16210.0,-12620.0,-7133.0,0.7514254450798,-0.5189772248268,-0.2858570218086,0.2903586924076
